Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
ALT,"Altimmune, Inc. - Common Stock",-1,4,-43,-17,-47
ALTI,"AlTi Global, Inc. - Class A Common Stock",-5,-12,-18,-30,-2
ALTO,"Alto Ingredients, Inc. - Common Stock",3,-14,119,77,365
ALVO,Alvotech - Ordinary Shares,-1,1,-39,-33,-71
ALXO,ALX Oncology Holdings Inc. - Common Stock,-1,25,31,72,342
ALZN,"Alzamend Neuro, Inc. - Common Stock",-3,5,-46,-41,-67
AMAL,Amalgamated Financial Corp. - Common Stock,0,0,42,30,38
AMAN,Amanat Acquisition Corp - Class A Ordinary Shares,0,1,1,1,1
AMAT,"Applied Materials, Inc. - Common Stock",1,7,88,61,169
AMBA,"Ambarella, Inc. - Ordinary Shares",5,35,-2,16,40
AMCI,AMC Robotics Corporation - Common Stock,-8,-28,-32,-29,-57
AMCX,AMC Global Media Inc. - Class A Common Stock,3,10,5,0,41
AMD,"Advanced Micro Devices, Inc. - Common Stock",4,40,117,109,308
AMGN,Amgen Inc. - Common Stock,1,0,3,5,25
AMIX,"Autonomix Medical, Inc. - Common Stock",0,11,-63,-26,-77
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",-3,-20,-8,19,188
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",-2,-31,-72,-57,-85
AMPG,"Amplitech Group, Inc. - Common Stock",-5,163,56,54,102
AMPGZ,"Amplitech Group, Inc. - Series B Right",,0,0,0,0
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",1,-15,-31,-30,-28
AMPL,"Amplitude, Inc. - Class A Common Stock",3,-5,-33,-39,-47
AMSC,American Superconductor Corporation - Common Stock,5,4,66,64,89
AMSF,"AMERISAFE, Inc. - Common Stock",-1,1,-20,-16,-29
AMSS,AMASS Brands Inc. - Common Stock,-43,-43,-43,-43,-43
AMST,Amesite Inc. - Common Stock,-3,100,-9,5,-29
AMTX,"Aemetis, Inc - Common Stock",19,-9,62,69,52
AMZN,"Amazon.com, Inc. - Common Stock",-1,2,18,18,29
ANAB,"AnaptysBio, Inc. - Common Stock",-1,-10,114,99,345
ANDE,"The Andersons, Inc. - Common Stock",1,-7,42,34,106
ANGH,Anghami Inc. - Ordinary Shares,-2,-18,9,-21,-43
ANGI,Angi Inc. - Class A Common Stock,8,-27,-51,-56,-66
ANGO,"AngioDynamics, Inc. - Common Stock",0,7,-3,-6,23
ANIK,Anika Therapeutics Inc. - Common Stock,-1,-6,51,59,34
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",0,4,2,5,42
ANIX,"Anixa Biosciences, Inc. - Common Stock",1,-6,-36,-12,12
ANL,Adlai Nortye Ltd. - American Depositary Shares,3,-10,745,764,521
ANNA,"AleAnna, Inc. - Class A Common Stock",6,-16,5,16,-68
ANNX,"Annexon, Inc. - common stock",-2,-13,18,13,170
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,3,-15,-77,-72,84
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,0,1,3,2,6
ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,-2,-14,-15,-12,-28
ANTX,"AN2 Therapeutics, Inc. - Common Stock",-1,1,345,337,311
ANY,Sphere 3D Corp. - Common Shares,-2,33,-59,-43,-78
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,7,-1,111,102,93
APA,APA Corporation - Common Stock,1,1,62,55,133
APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,0,0,2,2,2
APC,ARKO Petroleum Corp. - Class A Common Stock,-1,14,20,20,20
APEI,"American Public Education, Inc. - Common Stock",0,-10,50,42,73
APGE,"Apogee Therapeutics, Inc. - Common Stock",-2,-6,20,7,120
API,"Agora, Inc. - ADS",-3,3,-2,-10,-4
APLD,Applied Digital Corporation - Common Stock,-4,36,93,63,504
